Geneid	SRR085471	SRR085473	SRR085474	SRR087416	SRR085725	SRR085726
GFOD3P	252	125	283	173	266	207
CCDC27	0	0	1	0	0	0
SMIM1	5	4	6	4	3	6
LRRC47	881	228	965	601	695	702
CEP104	310	145	381	208	361	277
LOC124903829	1	1	6	2	3	1
DFFB	54	29	74	91	92	137
C1orf174	130	38	146	114	120	130
LINC01134	0	1	3	2	0	2
LINC01346	1	0	4	1	1	1
LINC01345	3	0	0	0	0	0
LINC02780	0	0	0	1	0	0
LINC01777	0	0	0	0	0	0
LOC105376674	0	0	0	0	0	0
LOC124904578	0	0	0	0	0	0
LINC01646	0	0	0	0	0	0
AJAP1	765	126	1023	559	482	646
LINC02781	0	0	0	0	0	0
LOC124904589	0	0	0	0	0	0
LOC102724429	0	0	0	0	0	0
LINC02782	0	0	0	0	0	0
LOC105376682	0	0	0	0	0	0
LOC124904590	0	1	0	0	0	0
LOC107984911	0	1	0	0	0	0
LOC105376686	0	0	0	0	1	0
LOC124900451	0	0	0	0	0	0
LOC124903830	3	0	3	0	3	1
MIR4689	0	0	0	0	0	0
NPHP4	259	44	242	140	184	201
KCNAB2	4806	878	5660	3689	3339	4364
LOC124903831	2	0	5	7	1	4
CHD5	3263	1041	3673	2547	2054	2714
RPL22	574	175	540	514	656	478
RNF207-AS1	4	4	6	10	7	8
RNF207	98	34	88	114	125	91
ICMT	732	191	754	436	773	436
ICMT-DT	0	0	1	1	1	1
HES3	0	0	0	0	0	0
GPR153	285	81	248	192	97	263
ACOT7	2246	226	2208	1592	1375	1803
HES2	0	1	0	0	0	0
ESPN	0	6	2	11	79	20
MIR4252	0	0	0	0	0	0
TNFRSF25	145	155	131	496	554	424
PLEKHG5	665	168	721	477	1377	405
NOL9	374	86	367	250	274	196
TAS1R1	3	2	1	1	1	2
LOC107984912	0	0	0	0	0	0
ZBTB48	160	97	167	151	157	163
KLHL21	711	341	790	1046	703	1379
LOC107984913	13	8	6	16	10	13
PHF13	212	66	193	154	198	180
THAP3	136	63	130	106	129	140
DNAJC11	392	51	446	184	325	197
