Geneid,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
XAF1,320.31037298867517,2.4306816880592623,0.38417334054152763,6.3270441531236745,2.4990186710543354e-10,8.368713725626758e-08
TMEM144,933.9818696262009,-1.6421561714902897,0.26034426353681095,-6.3076333973385195,2.833343497945255e-10,9.302255594038303e-08
PARP12,98.10477747234258,2.005671913774848,0.31941690853379245,6.279166381583897,3.403931695301708e-10,1.0960660058871499e-07
PCDHGC4,77.46165787703092,-3.2395586518784936,0.5242399673238981,-6.179533903940129,6.42911267687807e-10,2.031114389842385e-07
DOP1B,182.38870655821827,-2.1832611038345022,0.3535351700923923,-6.175513183777253,6.594890267277515e-10,2.0449044932461986e-07
DIP2C-AS1,122.89825019970078,2.3755953371314256,0.38611761503826453,6.152517379700489,7.626261128481663e-10,2.280252077416017e-07
PLPP3,766.0666230681817,-1.9399677963446595,0.3151848972160901,-6.155015083145376,7.507035059165151e-10,2.280252077416017e-07
NEAT1,4455.93655339511,2.0803185378077047,0.33901395534808787,6.136380243319793,8.442295078534483e-10,2.4799612069294977e-07
ANP32B,619.079385619725,1.7781051506522483,0.28997961862379323,6.131828019813638,8.687499013169643e-10,2.507991094422629e-07
EDNRB,215.15131185756272,-1.8089773664700137,0.2959685696999979,-6.1120590213469095,9.83537924507752e-10,2.7912472894843727e-07
CD38,53.691359285556906,-3.4305122064862963,0.5616319399970882,-6.108114518031297,1.0081500915621211e-09,2.8134108555193595e-07
PARP10,266.90471847971884,1.7240717984026273,0.28406303801403826,6.069328169043324,1.2844643851863265e-09,3.525749453370467e-07
LOC124903348,54.74052679695287,2.2794669105922103,0.37641524295727313,6.055724238699208,1.397872951854942e-09,3.775158823525669e-07
LOC107985957,86.08625213417612,2.7457239157771114,0.45400859476912825,6.047735543802563,1.4689581602518452e-09,3.9041643548026817e-07
LOC124903566,52.62039458220062,2.7720373836548045,0.4586074342269549,6.044466741642446,1.4990497103819952e-09,3.921888804786895e-07
KAT2A,1201.7406357705165,1.2307216213468801,0.20404975223870273,6.031478146109925,1.6246669871217973e-09,4.1851421588257503e-07
STARD10,516.2348850480777,1.7814940376887998,0.2959320342409697,6.019943201681829,1.7447828425701646e-09,4.4264611993931567e-07
WIF1,185.87828490580543,-2.9611289407474946,0.49250045266831116,-6.012439023567261,1.8275258292401215e-09,4.567177982805462e-07
PTPRG,238.8127257493896,-1.4612093402442783,0.2435359776465483,-5.999973204636643,1.973500927228698e-09,4.859455812576076e-07
TNC,74.43387573075336,-2.765797983619552,0.46458528447301795,-5.953262137342155,2.6284977527223456e-09,6.378487879939558e-07
IFI35,108.70896717795647,2.149524006999652,0.3613812958371286,5.948077644750114,2.7130989925976936e-09,6.398328103106448e-07
LOC124904268,28.814689451015653,2.987466998149314,0.5021136931915731,5.949781969020104,2.684999137140296e-09,6.398328103106448e-07
LDLRAD4,527.3569159743332,-1.2649519115463168,0.21330179954509276,-5.9303386762046575,3.023104747430398e-09,6.946251226305286e-07
BCL6B,45.071592112885895,2.551445075526206,0.4302568527923797,5.93005098923411,3.0284062322042877e-09,6.946251226305286e-07
CARS2,334.47180476820637,1.2988211154040803,0.21921194898528867,5.924955831177088,3.1238134045145765e-09,7.068261033134063e-07
IFI6,3348.887016093538,3.562129297969817,0.6033750591745601,5.903673418060972,3.5549556090811065e-09,7.915953440211292e-07
AHSA2P,506.3638291803109,1.4434581622318379,0.24457442934515808,5.901917735622081,3.5930032337318332e-09,7.915953440211292e-07
CD22,604.4029967323037,1.793662541353851,0.30534974181397895,5.874124964698879,4.250826348611075e-09,9.243615114434265e-07
PACRG-AS3,65.96729379815697,2.0284460394179384,0.34563012684360445,5.868834577420382,4.388690339040013e-09,9.421055261139228e-07
LGALS9,136.01941787531115,1.6424488622951772,0.28087709128701116,5.847571458281939,4.988015825845997e-09,1.0345684884936735e-06
ANGPT2,141.63098484669757,3.2188163248635533,0.550506089659818,5.847013112702536,5.004780671762276e-09,1.0345684884936735e-06
SHFL,412.6241279129811,1.2428642629140785,0.21248237131400186,5.849258247769649,4.937699616180529e-09,1.0345684884936735e-06
RPL23AP32,24.404761918455762,5.533037936774529,0.9493609410413574,5.828171033353574,5.6038131144487245e-09,1.1442713022967005e-06
TMPRSS5,194.9213735545724,2.346157236425204,0.40300186432794544,5.8217031832785855,5.825093251182445e-09,1.1751248361180585e-06
PREPL,678.2390400899437,-2.793987620240207,0.4811765577380041,-5.806574687209733,6.376383608843898e-09,1.2486377636301092e-06
PCAT19,23.965804269494836,3.5765882382575542,0.6161679629067507,5.804567023227117,6.453254351763375e-09,1.2486377636301092e-06
DUSP4,83.94571496671291,-2.1288222532058776,0.36667741281826144,-5.8057087204905065,6.409430449278978e-09,1.2486377636301092e-06
LOC101927759,138.46096381234636,2.4061713630461954,0.41459459939626986,5.803672711969831,6.4877858000369984e-09,1.2486377636301092e-06
RGS7BP,209.0139117452421,-2.5378698590689757,0.4377074994632756,-5.7980954454309215,6.707227708316817e-09,1.2762025085006453e-06
BTNL9,145.31150550271846,1.57897002326676,0.2724748044619698,5.7949212088971045,6.8353263901248146e-09,1.2859629783848302e-06
ZNF692,521.5966961099263,1.7713208856718095,0.3062525012211747,5.783857694577869,7.300670847784331e-09,1.358249251947787e-06
RNR1,93576.0241485763,2.3937331612245445,0.4151373769437245,5.766122961144585,8.111588743148273e-09,1.4925323287392824e-06
MUC3A,37.17414297210265,3.883199021983158,0.673750926432723,5.7635527754200595,8.236148265791735e-09,1.4989789843740959e-06
LOC124902472,159.8229584978689,2.9584921355821168,0.5139197890104413,5.75671962599208,8.576417866495628e-09,1.544124094157019e-06
IFITM3,936.7801260885144,2.046510548994712,0.35578536779819137,5.752093071336014,8.814524679857655e-09,1.5701106514844315e-06
ACADSB,188.38815728874792,-1.5416367720499244,0.268585416349176,-5.739837974098008,9.476717566388264e-09,1.6702964098063693e-06
LOC124906047,35.36455511948527,2.7767543904781937,0.4848867636382061,5.726603814968321,1.0246107135036256e-08,1.7870918528025736e-06
LINC00951,60.12288522003794,2.6334881811504696,0.4609601627630893,5.713049399680884,1.10969448397136e-08,1.915538602022315e-06
ELOVL2,115.14543452428063,-2.271161755144508,0.3981210484872907,-5.704701531793064,1.1654712687916504e-08,1.991290910678306e-06
CNTNAP2,109.77045757656721,-2.117844200213747,0.3717835103383547,-5.696444681708256,1.2233155825771534e-08,2.0535832549895244e-06
GASK1B,223.95987593352655,-1.3829393658971123,0.24279102729674482,-5.696006896526912,1.226459182387437e-08,2.0535832549895244e-06
PCDHGC5,230.9169249368559,-2.973713144713787,0.5231324205542341,-5.684436727441358,1.312445005078548e-08,2.1757999173302188e-06
TRNI,293.4945793140822,2.7139690577706665,0.47848015133828786,5.672061944847273,1.4108893839657585e-08,2.3160717495218295e-06
